facility_name,facility_type,full_address,latitude,longitude
Alberta Children's Hospital,Hospital,"28, oki dr nw, calgary, ab, T3B 6A8",51.074582,-114.148426
Devon General Hospital,Hospital,"101, erie st s, devon, ab, T9G 1A6",53.351493000000005,-113.730785
Kimbelee Place,Other,"12935, 96 ave, surrey, bc, V3V 7K6",49.177418,-122.864118
Kimberley Special Care Home,Other,"386, 2 ave, kimberley, bc, V1A 2Z6",49.6899979,-115.9896466
Kinetic Energy Health and Wellness Centre,Clinic,"207-450, lansdowne street, kamloops, bc, V2C 1Y4",50.67706,-120.3295
King Edward House,Other,"820, e king edward ave, vancouver, bc, V5V 2E4",49.2483529,-123.0870448
Kingfisher Place,Other,"4328, crystal drive, vernon, bc, V1T 8V5",50.2761527,-119.2445371
Kinghaven Treatment Centre,Other,"31250, king rd, abbotsford, bc, V2T 6C2",49.0307485,-122.358792
Kings House,Other,"8512, 164 st, surrey, bc, V4N 1E5",49.157599,-122.767254
Kinsmen Lodge,Other,"9650, 137a st, surrey, bc, V3T 4H9",49.1777346,-122.8417995
Kinvillage,Other,"5410, 10 ave, delta, bc, V4M 3X8",49.0214852,-123.073648
Didsbury District Health Services,Hospital,"1210, 20 ave, didsbury, ab, T0M 0W0",51.661795,-114.123674
Kitimat Hospital & Health Centre,Hospital,"920, lahakas blvd s, kitimat, bc, V8C 2S3",54.0504835,-128.6472372
Kiwanis Care Centre,Other,"35, clute st, new westminster, bc, V3L 1Z5",49.223211799999994,-122.9150878
Kiwanis Village Lodge,Other,"1221, kiwanis cres, nanaimo, bc, V9S 5Y1",49.186109,-123.96893
Knutsford Group Home,Other,"3161, merritt princeton highway 5a, knutsford, bc, V0E 2A0",50.603466999999995,-120.3104439
Kootenay Boundary Regional Hospital,Hospital,"1200, hospital bench, trail, bc, V1R 4M1",49.103275,-117.701449
Kootenay Columbia House,Other,"114, 10 ave, castlegar, bc, V1N 1Y4",49.3279645,-117.6630835
Kootenay Lake Hospital,Hospital,"3, view st, nelson, bc, V1L 2V1",49.4950249,-117.2848169
Kootenay Lake Medical Clinic,Clinic,"1140, lakeside drive, nelson, bc, V1L 5Z3",49.49869,-117.2889
